rowname,x,y;;;
20940177161,18.45973,-33.950753;;;
20940177162,18.46228,-33.9523;;;
20940177163,18.463882,-33.950093;;;
20940177164,18.463167,-33.945393;;;
20940177165,18.463255,-33.944388;;;
20940177166,18.4545,-33.946623;;;
20940177167,18.434592,-33.948722;;;
20940177168,18.401028,-33.942953;;;
20940177169,18.398002,-33.94313;;;
20940177170,18.402022,-33.94245;;;
20940177171,18.392797,-33.943433;;;
20940177172,18.38688,-33.942502;;;
20940177173,18.385387,-33.933032;;;
20940177174,18.389337,-33.937832;;;
20940177175,18.389205,-33.937555;;;
20940177176,18.388505,-33.94003;;;
20940177177,18.386258,-33.939713;;;
20940177178,18.385772,-33.938342;;;
20940177179,18.392625,-33.941915;;;
20940177180,18.389732,-33.942875;;;
20940177181,18.389997,-33.942752;;;
20940177182,18.390002,-33.942897;;;
20940177183,18.39101,-33.943283;;;
20940177184,18.385448,-33.94335;;;
20940177185,18.38991,-33.944303;;;
20940177186,18.388052,-33.943633;;;
20940177187,18.395338,-33.934353;;;
20940177188,18.394955,-33.932265;;;
20940177189,18.40042,-33.92061;;;
20940177190,18.404577,-33.92176;;;
20940177191,18.395958,-33.929393;;;
20940177192,18.395578,-33.931517;;;
20940177193,18.388308,-33.944685;;;
20940177194,18.392637,-33.94273;;;
20940177195,18.393448,-33.96076;;;
20940177196,18.39354,-33.960273;;;
20940177197,18.40111,-33.977263;;;
20940177198,18.417058,-33.99851;;;
20940177199,18.407382,-34.008533;;;
20940177200,18.391858,-34.007377;;;
20940177201,18.389908,-34.007027;;;
20940177202,18.390282,-34.007587;;;
20940177203,18.390308,-34.00751;;;
20940177204,18.390273,-34.0076;;;
20940177205,18.390267,-34.007602;;;
20940177206,18.390273,-34.007587;;;
20940177207,18.390278,-34.007595;;;
20940177208,18.39029,-34.007598;;;
20940177209,18.39027,-34.007612;;;
20940177210,18.390235,-34.00758;;;
20940177211,18.390358,-34.007558;;;
20940177212,18.390565,-34.007283;;;
20940177213,18.390532,-34.007102;;;
20940177214,18.39022,-34.006557;;;
20940177215,18.390297,-34.008195;;;
20940177216,18.390672,-34.007705;;;
20940177217,18.390498,-34.00747;;;
20940177218,18.393625,-34.009752;;;
20940177219,18.393447,-34.009453;;;
20940177220,18.398472,-34.008562;;;
20940177221,18.402782,-34.008912;;;
20940177222,18.40339,-34.008538;;;
20940177223,18.405292,-34.010035;;;
20940177224,18.40549,-34.009977;;;
20940177225,18.405428,-34.01021;;;
20940177226,18.405568,-34.009812;;;
20940177227,18.405647,-34.00971;;;
20940177228,18.409848,-34.00758;;;
20940177229,18.41441,-34.006218;;;
20940177230,18.414467,-34.006213;;;
20940177231,18.419032,-34.005868;;;
20940177232,18.42565,-33.995718;;;
20940177233,18.427045,-33.992882;;;
20940177234,18.427498,-33.990555;;;
20940177235,18.426955,-33.98982;;;
20940177236,18.429335,-33.98671;;;
20940177237,18.430907,-33.984825;;;
20940177238,18.430912,-33.984885;;;
20940177239,18.43109,-33.984797;;;
20940177240,18.435305,-33.980897;;;
20940177241,18.438918,-33.976347;;;
20940177242,18.442803,-33.973932;;;
20940177243,18.445038,-33.972695;;;
20940177244,18.447165,-33.969137;;;
20940177245,18.448548,-33.965498;;;
20940177246,18.449765,-33.964972;;;
20940177247,18.449547,-33.964832;;;
20940177248,18.449307,-33.964708;;;
20940177249,18.449365,-33.964692;;;
20940177250,18.449368,-33.964672;;;
20940177251,18.449435,-33.964685;;;
20940177252,18.450258,-33.963217;;;
20940177253,18.450302,-33.9631;;;
20940177254,18.450787,-33.962023;;;
20940177255,18.451743,-33.959392;;;
20940177256,18.451075,-33.958995;;;
20940177257,18.451045,-33.958952;;;
20940177258,18.451248,-33.9591;;;
20940177259,18.451107,-33.958905;;;
20940177260,18.45106,-33.958855;;;
20940177261,18.451192,-33.959062;;;
20940177262,18.451167,-33.95896;;;
20940177263,18.450977,-33.958915;;;
20940177264,18.451002,-33.958893;;;
20940177265,18.451412,-33.959008;;;
20940177266,18.45124,-33.959032;;;
20940177267,18.45048,-33.959488;;;
20940177268,18.451428,-33.958762;;;
20940177269,18.455695,-33.955172;;;
20940177270,18.459058,-33.946015;;;
20940177271,18.45589,-33.945092;;;
20940177272,18.45594,-33.945102;;;
20940177273,18.464577,-33.94916;;;
20940177274,18.463317,-33.948458;;;
20940177275,18.463208,-33.948597;;;
20940177276,18.46376,-33.946988;;;
20940177277,18.465388,-33.95002;;;
20940177278,18.45696,-33.964895;;;
20940177279,18.448737,-33.963793;;;
20940177280,18.44213,-33.96991;;;
20940177281,18.441488,-33.970152;;;
20940177282,18.442043,-33.968928;;;
20940177283,18.441822,-33.96802;;;
20940177284,18.449385,-33.962558;;;
20940177285,18.462288,-33.949557;;;
20940177286,18.45803,-33.956537;;;
20940177287,18.458158,-33.955903;;;
20940177288,18.461647,-33.952067;;;
20940177289,18.462763,-33.949165;;;
20940177290,18.462555,-33.949055;;;
20940177291,18.462593,-33.949075;;;
20940177292,18.458123,-33.947925;;;
20940177293,18.447248,-33.970047;;;
20940177294,18.436655,-33.974353;;;
20940177295,18.442968,-33.975318;;;
20940177296,18.453118,-33.965248;;;
20940177297,18.448513,-33.959358;;;
20940177298,18.448905,-33.957445;;;
20940177299,18.449262,-33.957393;;;
20940177301,18.452432,-33.959832;;;
20940177303,18.456748,-33.954407;;;
20940177305,18.459768,-33.951127;;;
20940177307,18.459132,-33.951092;;;
20940177309,18.459407,-33.9505;;;
20940177311,18.464478,-33.947108;;;
20940177313,18.464957,-33.945605;;;
20940177315,18.464913,-33.945535;;;
20940177317,18.459762,-33.944123;;;
20940177319,18.445492,-33.942522;;;
20940177321,18.418718,-33.954523;;;
20940177323,18.419038,-33.953512;;;
20940177325,18.420192,-33.949348;;;
20940177327,18.417615,-33.958342;;;
20940177329,18.419238,-33.96092;;;
20940177332,18.419265,-33.960917;;;
20940177334,18.419223,-33.96078;;;
20940177336,18.41881,-33.95705;;;
20940177338,18.432895,-33.941007;;;
20940177340,18.444687,-33.939593;;;
20940177342,18.444735,-33.939623;;;
20940177344,18.444877,-33.939483;;;
20940177346,18.451218,-33.943122;;;
20940177348,18.45182,-33.943072;;;
20940177350,18.454985,-33.958003;;;
20940177352,18.454135,-33.956637;;;
20940177354,18.454385,-33.958565;;;
20940177356,18.450658,-33.959973;;;
20940177358,18.455697,-33.955298;;;
20940177360,18.456407,-33.955492;;;
20940177362,18.456058,-33.955148;;;
20940177364,18.456302,-33.956212;;;
20940177365,18.45623,-33.955783;;;
20940177366,18.45628,-33.95555;;;
20940177367,18.456082,-33.955252;;;
20940177368,18.456517,-33.95544;;;
20940177369,18.458355,-33.947117;;;
20940177370,18.460673,-33.946242;;;
20940177371,18.46228,-33.946118;;;
20940177373,18.463762,-33.948095;;;
20940177374,18.465592,-33.949173;;;
20940177375,18.465623,-33.949112;;;
20940177376,18.465583,-33.94917;;;
20940177377,18.465435,-33.949095;;;
20940177378,18.465602,-33.949138;;;
20940177379,18.466193,-33.949515;;;
20940177380,18.466937,-33.949658;;;
20940177381,18.464762,-33.951177;;;
20940177382,18.464313,-33.95141;;;
20940177383,18.464357,-33.951278;;;
20940177384,18.464302,-33.952162;;;
20940177385,18.460957,-33.950867;;;
20940177386,18.458397,-33.950567;;;
20940177387,18.45584,-33.952708;;;
20940177388,18.45151,-33.953728;;;
20940177389,18.450188,-33.951013;;;
20940177390,18.447267,-33.949752;;;
20940177391,18.443008,-33.94849;;;
20940177392,18.44106,-33.944758;;;
20940177393,18.43964,-33.943322;;;
20940177394,18.439348,-33.943248;;;
20940177395,18.439378,-33.94258;;;
20940177396,18.439237,-33.942455;;;
20940177397,18.439132,-33.943002;;;
20940177398,18.438998,-33.943067;;;
20940177399,18.438743,-33.943287;;;
20940177401,18.438785,-33.943135;;;
20940177402,18.438723,-33.942902;;;
20940177403,18.439122,-33.942672;;;
20940177404,18.43899,-33.942742;;;
20940177405,18.43937,-33.942707;;;
20940177406,18.439267,-33.942785;;;
20940177407,18.43952,-33.942668;;;
20940177408,18.439778,-33.94301;;;
20940177409,18.438532,-33.943475;;;
20940177410,18.43924,-33.942222;;;
20940177411,18.439268,-33.942168;;;
20940177412,18.439168,-33.942208;;;
20940177413,18.439123,-33.942115;;;
20940177414,18.439278,-33.942168;;;
20940177415,18.439333,-33.942142;;;
20940177416,18.439315,-33.94214;;;
20940177417,18.439272,-33.94205;;;
20940177418,18.439268,-33.94212;;;
20940177420,18.439233,-33.94221;;;
20940177421,18.43903,-33.94211;;;
20940177422,18.438993,-33.942098;;;
20940177423,18.439223,-33.942142;;;
20940177424,18.439058,-33.942238;;;
20940177425,18.43921,-33.942128;;;
20940177426,18.439197,-33.942187;;;
20940177427,18.439287,-33.942163;;;
20940177428,18.439335,-33.94218;;;
20940177430,18.439273,-33.942283;;;
20940177431,18.439218,-33.942175;;;
20940177432,18.44039,-33.941865;;;
20940177433,18.443985,-33.94413;;;
20940177434,18.448338,-33.94398;;;
20940177435,18.455328,-33.944435;;;
20940177436,18.461398,-33.944273;;;
20940177437,18.463272,-33.945348;;;
20940177438,18.465878,-33.947103;;;
20940177440,18.46361,-33.95182;;;
20940177442,18.458217,-33.964043;;;
20940177444,18.442332,-33.968472;;;
20940177446,18.444912,-33.974695;;;
20940177448,18.429478,-33.98767;;;
20940177450,18.425568,-33.993307;;;
20940177452,18.425992,-33.995165;;;
20940177454,18.423388,-33.996898;;;
20940177456,18.423345,-34.00239;;;
20940177458,18.397447,-34.00363;;;
20940177461,18.35574,-34.00656;;;
20940177463,18.355847,-34.00917;;;
20940177464,18.354702,-34.005302;;;
20940177465,18.353503,-34.006795;;;
20940177466,18.35382,-34.007452;;;
20940177468,18.351587,-34.007112;;;
20940177470,18.360848,-34.007743;;;
20940177472,18.361377,-34.007352;;;
20940177474,18.368563,-34.010592;;;
20940177476,18.386393,-34.005912;;;
20940177478,18.390182,-34.006685;;;
20940177480,18.389538,-34.007573;;;
20940177482,18.389612,-34.007527;;;
20940177484,18.390883,-34.007573;;;
20940177487,18.413245,-34.006672;;;
20940177489,18.428273,-33.992673;;;
20940177491,18.43284,-33.975132;;;
20940177493,18.45174,-33.961083;;;
20940177495,18.452432,-33.961043;;;
20940177497,18.452535,-33.960718;;;
20940177499,18.456187,-33.962342;;;
20940177501,18.451793,-33.963672;;;
20940177503,18.45085,-33.962068;;;
20940177505,18.46376,-33.951383;;;
20940177507,18.461802,-33.949322;;;
20940177509,18.464567,-33.94532;;;
20940177511,18.46534,-33.94678;;;
20940177513,18.464573,-33.946443;;;
20940177515,18.465465,-33.949217;;;
20940177517,18.464907,-33.949705;;;
20940177519,18.461963,-33.952865;;;
20940177521,18.46236,-33.952755;;;
20940177523,18.462287,-33.952863;;;
20940177525,18.460692,-33.951363;;;
20940177527,18.459678,-33.950942;;;
20940177529,18.459802,-33.950945;;;
20940177531,18.459598,-33.950578;;;
20940177533,18.455597,-33.95008;;;
20940177536,18.455737,-33.95012;;;
20940177538,18.457713,-33.946463;;;
20940177540,18.464808,-33.945347;;;
20940177542,18.46425,-33.946442;;;
20940177544,18.465888,-33.95079;;;
